"uniform(0, 1)","uniform(0, 1)_sorted","beta(1, 6)","beta(1, 6)_sorted","beta(6, 1)","beta(6, 1)_sorted","beta(2, 5)","beta(2, 5)_sorted","beta(5, 2)","beta(5, 2)_sorted","beta(0.5, 0.5)","beta(0.5, 0.5)_sorted","beta(0.6, 0.1)","beta(0.6, 0.1)_sorted","beta(0.1, 0.6)","beta(0.1, 0.6)_sorted"
1.030622279299637,1.0310043288789796,1.0018488401951553,1.1026931372006856,1.002841334001406,1.0203504276870046,1.0078201447575919,1.0269003522327005,1.0080382225828592,1.016379191397066,1.0103042352264104,1.037100032199517,1.0,1.0449849536762792,1.0,1.0023996732359848
1.0063062462034362,1.038663992925201,1.0071813615200242,1.0177565447917818,1.0026285062779883,1.0237834803975123,1.003796051517316,1.0252828951971336,1.0019007819002115,1.0213086240946563,1.0,1.0466907052582053,1.0,1.0177059231358014,1.0,1.0
1.0203678547738682,1.0333292034325805,1.0159751371530903,1.0256083250771166,1.0045267151330939,1.008523899782827,1.0309757963175434,1.0462600549098502,1.0,1.0258866703738803,1.0,1.0543980934373278,1.0002311987538621,1.0002142508278105,1.0,1.0
1.0314053965580952,1.0590876027590306,1.0024293063447767,1.0394915425909044,1.0,1.0239561454935555,1.0,1.032415319296653,1.0,1.0051967684144258,1.010378493850921,1.083605431453792,1.0106027850294683,1.012394770764333,1.0,1.0
1.0024033231806808,1.084277123517585,1.0256547219339476,1.071304927964803,1.0,1.0133246491092873,1.0004058139053376,1.0330158232238837,1.0006630900782367,1.0314555479563348,1.0417927525104258,1.0326817971838758,1.0013828197793415,1.0039032501666532,1.0,1.0
1.0023982661424038,1.0827429850580925,1.048594886230354,1.019341160331048,1.002441688119198,1.0100066177275486,1.0,1.020341733470847,1.0,1.022413234121183,1.0295282440471258,1.0245052837657147,1.0055742031414028,1.0040243561507463,1.0,1.0
1.001330542465542,1.0335269792115798,1.0,1.0356526369124808,1.0,1.011004581517488,1.0,1.0133129536030492,1.0112626058100274,1.0521932785141548,1.0,1.0446205299171576,1.0002647427047302,1.001876449704142,1.0,1.0180482686253933
1.0,1.0717422932514433,1.0069698005288057,1.0693976970770596,1.0000588029455455,1.0174009691159696,1.0,1.048020764546188,1.0,1.0142520464362255,1.0,1.0693437620996356,1.015496979028649,1.0047718158282146,1.0,1.0
1.0,1.0637624687592286,1.0032359278101373,1.0936494894591218,1.000207212484529,1.0110634059677783,1.0,1.0504216829563213,1.0015424025289001,1.018728483598771,1.0,1.0519585058734051,1.0003583483978307,1.0276410967973686,1.0,1.0
1.0027087117471474,1.0404759125445753,1.0,1.038043880312263,1.0026724277407137,1.0142473958244886,1.0,1.0464532359584202,1.0,1.0102377866280903,1.0,1.0616084327290942,1.0075066871812894,1.0181335933936173,1.0,1.0123173473210938
1.0,1.0272321618039097,1.0,1.0514540468951108,1.0007070945149668,1.0133416314344068,1.0,1.0129911957257884,1.0109513760183404,1.0204727894831245,1.0,1.0357963631037128,1.0005592791146742,1.0432557773548348,1.0,1.0
1.0,1.0623064903295427,1.0,1.0218403354589787,1.000451279567692,1.0224590760119907,1.0058501683501684,1.0122813031016853,1.0,1.025899753189504,1.0067501367458689,1.0784700196826882,1.000781506768845,1.0306155146236784,1.0,1.0
1.004949549955559,1.0346986579055806,1.0040320777497875,1.0200425487786864,1.0003802351849678,1.009092770196592,1.0,1.0201763879834294,1.0033787633085767,1.0399103302162551,1.0,1.1113174253651859,1.0041198446662176,1.0298448097803332,1.0,1.0
1.0029188396829605,1.0207319353869255,1.0,1.05356190018112,1.0,1.0102742941059122,1.005882570937975,1.020610842905845,1.00133268374104,1.012097431347162,1.0,1.0891374420108264,1.000189531050468,1.0114063616511175,1.0,1.0
1.0,1.0179341724017075,1.0205890191897655,1.0370928461469542,1.0,1.0073501088960193,1.0,1.0347567628578953,1.0,1.0133387725425105,1.0490800832670057,1.0255638041173512,1.0038072566018503,1.0035718773888886,1.0,1.0
1.0102577927548444,1.0450406464130464,1.0063418583409451,1.069116091416763,1.0,1.006698176148309,1.013683131964309,1.0457195329348987,1.0,1.0214550833925242,1.0269289752173116,1.0418699439887777,1.0081341974390776,1.0455687848961646,1.0,1.0224338304907998
1.0,1.0178566656273662,1.0058631295655518,1.0165744415417317,1.005218800571495,1.0089199279115542,1.0,1.0453662428541104,1.0019676619043545,1.012116070640338,1.0155057517434294,1.1190442811838122,1.0023931936600197,1.0298901733730643,1.0,1.0
1.0,1.0394502404210804,1.0031768293330783,1.0328310137295467,1.0021875744836461,1.0151685561878974,1.0300648356503603,1.0207158134357295,1.0039742708048478,1.018227972692743,1.0,1.0862228865051033,1.0011355384493543,1.0159385668169607,1.0,1.0048371664481377
1.0,1.0239402246183207,1.0,1.0025956568237182,1.0,1.0188113502986922,1.0053888268687208,1.0499458463742655,1.0,1.0109221423703871,1.0045388212402713,1.0194511705873026,1.0,1.0219608283281556,1.0,1.0
1.0,1.0466852322862978,1.0,1.006456176869974,1.0,1.0186864662292625,1.0,1.0238282159509495,1.0,1.0084710895745177,1.0,1.041759944269278,1.0,1.0225965323286519,1.0,1.0276613041245934
1.0,1.092429820159047,1.0146758839528558,1.019490892374878,1.0,1.0044266254997478,1.0,1.0233663572939888,1.0,1.0182588944167572,1.0002533860826848,1.0585846738297573,1.0001703824814097,1.0229954607484983,1.0,1.0
1.0,1.0440502341546782,1.0027288917826844,1.01926172194517,1.004688866041391,1.0131398780486278,1.0,1.0241211141930082,1.0012639065290703,1.015643403488828,1.0,1.0844059145415645,1.0,1.0061471955274814,1.0,1.0
